fake account name,URL of real websites,twitter of real website,Frequency
TodayPittsburgh,www.post-gazette.com,"PittsburghPG",1726
TodayPittsburgh,www.topix.com,Topix,228
TodayPittsburgh,www.wtae.com,WTAE,39
TodayPittsburgh,http://cbslocal.com/,cbslocal,26
TodayPittsburgh,www.wpxi.com,WPXI,13
SanAntoTopNews,www.mysanantonio.com,mySA,6146
SanAntoTopNews,www.kens5.com,KENS5,28
SanAntoTopNews,www.ksat.com,ksatnews,28
SanAntoTopNews,foxsanantonio.com,KABBFOX29,10
SanAntoTopNews,www.sanantoniopost.com,,352
NewOrleansON,www.nola.com,NOLAnews,3453
NewOrleansON,www.al.com,aldotcom,94
NewOrleansON,blog.nola.com,NOLAnews,52
NewOrleansON,www.nfl.com,NFL,17
NewOrleansON,realestate.nola.com,NOLAnews,15
ElPasoTopNews,www.elpasotimes.com,elpasotimes,2095
ElPasoTopNews,www.usatoday.com,USATODAY,262
ElPasoTopNews,www.lcsun-news.com,CrucesSunNews,33
ElPasoTopNews,twib.in,TWIBnation,97
ElPasoTopNews,www.kvia.com,abc7breaking,18
DailySanJose,www.nbcbayarea.com,nbcbayarea,316
DailySanJose,www.sanjoseinside.com,sanjoseinside,260
DailySanJose,www.sanjose.com,CityofSanJose,54
DailySanJose,www.mercurynews.com,mercnews,47
DailySanJose,bayareane.ws,inavailable,41
ChicagoDailyNew,feedsportal.com,unable to find,2469
ChicagoDailyNew,chicago.suntimes.com,Suntimes,609
ChicagoDailyNew,nbcchicago.com,"nbcchicago",13
ChicagoDailyNew,sandiegouniontribune.com,sdut,5
ChicagoDailyNew,healthcare.gov,HealthCareGov,3
DailySanFran,sanantoniopost.com,sanantoniopost,352
DailySanFran,mysanantonio.com,mySA,23
DailySanFran,ksat.com,ksatnews,3
DailySanFran,nytimes.com,nytimes,2
DetroitDailyNew,detroitnews.com,detroitnews,1839
DetroitDailyNew,freep.com,freep,4
DetroitDailyNew,michigan.gov,migov,2
DetroitDailyNew,michigan.com,Michigan_com,2
DetroitDailyNew,detroitnews.stats.com,detroitnews,2
TodayCincinnati,wcpo.com,WCPO,3072
TodayCincinnati,cincinnati.com,Enquirer,1393
TodayCincinnati,usatoday.com,USATODAY,973
TodayCincinnati,courier-journal.com,courierjournal,10
MinneapolisON,startribune.com,StarTribune,1508
MinneapolisON,www.kare11.com,kare11,35
MinneapolisON,www.theroot.com,TheRoot,23
MinneapolisON,http://cbslocal.com/,cbslocal,20
MinneapolisON,kstp.com,KSTP,17
TodayBostonMA,boston.com,BostonDotCom,898
TodayBostonMA,patriotledger.com,PatriotLedger,515
TodayBostonMA,www.telegram.com,telegramdotcom,465
TodayBostonMA,www.wcvb.com,WCVB,150
TodayBostonMA,whdh.com,7News,18
KansasDailyNews,ksnt.com,KSNTNews,14617
KansasDailyNews,kctv5.com,KCTV5,1187
KansasDailyNews,kmbc.com,kmbc,612
TodayPittsburgh,www.post-gazette.com,PittsburghPG,1838
TodayPittsburgh,topix.com,Topix,228
TodayPittsburgh,wtae.com,WTAE,39
TodayPittsburgh,http://cbslocal.com,cbslocal,26
TodayPittsburgh,wpxi.com,WPXI,13
Seattle_Post,seattletimes.com,seattletimes,3222
Seattle_Post,www.seattlepi.com,seattlepi,1094
Seattle_Post,blogs.seattletimes.com,seattletimes,48
Seattle_Post,king5.com,KING5Seattle,17
Seattle_Post,komonews.com,komonews,12
Philadelphia ,philadelphia.cbslocal.com,CBSPhilly,4062
Philadelphia ,philly.com,phillydotcom,3669
Philadelphia ,www.nbcphiladelphia.com,NBCPhiladelphia,2464
Philadelphia ,www.inquirer.com,PhillyInquirer,471
Philadelphia ,www.phillyvoice.com,thephillyvoice,57
DailyLosAngeles,abc7.com,ABC7,4169
DailyLosAngeles,lat.ms,latimes,3753
DailyLosAngeles,mynewsla.com,MyNewsLA,2921
DailyLosAngeles,ktla.com,KTLA,2881
DailyLosAngeles,www.foxla.com,FOXLA,1148
HoustonTopNews,www.chron.com,HoustonChron,1810
HoustonTopNews,www.click2houston.com,KPRC2,1729
HoustonTopNews,on.khou.com,KHOU,16
HoustonTopNews,abc13.com,abc13houston,12
HoustonTopNews,abc13.co,abc13houston,10
DailySanDiego,www.nbcsandiego.com,nbcsandiego,3643
DailySanDiego,www.cbs8.com,CBS8,2678
DailySanDiego,www.reuters.com,Reuters,107
DailySanDiego,www.sandiegouniontribune.com,sdut,32
DailySanDiego,on.nbc7.com,nbcsandiego,13
DallasTopNews,www.nbcdfw.com,NBCDFW,4581
DallasTopNews,www.star-telegram.com,startelegram,2771
DallasTopNews,www.dallasnews.com,dallasnews,9
WashingtOnline,www.nbcwashington.com,nbcwashington,3338
WashingtOnline,www.washingtonpost.com,washingtonpost,1222
WashingtOnline,www.washingtontimes.com,WashTimes,446
WashingtOnline,on.wusa9.com,wusa9,33
WashingtOnline,www.theroot.com,TheRoot,28
TodayNYCity,www.nydailynews.com,NYDailyNews,7112
TodayNYCity,www.nbcnewyork.com,NBCNewYork,5274
TodayNYCity,nypost.com,nypost,4498
TodayNYCity,nydn.us,nydailynews,684
TodayNYCity,twitter.com,twitter,16
OnlineCleveland,www.cleveland19.com,cleveland19news,7351
OnlineCleveland,www.cleveland.com,clevelanddotcom,4597
OnlineCleveland,www.wkyc.com,wkyc,299
OnlineCleveland,cleveland.com,clevelanddotcom,249
OnlineCleveland,www.usatoday.com,USATODAY,116
SanAntoTopNews,www.mysanantonio.com,mySA,6146
SanAntoTopNews,www.sanantoniopost.com,MoneyBandsKiyah,352
SanAntoTopNews,www.kens5.com,KENS5,28
SanAntoTopNews,www.ksat.com,ksatnews,28
SanAntoTopNews,www.foxsanantonio.com,KABBFOX29,10
PhoenixDailyNew,www.azcentral.com,azcentral,4944
PhoenixDailyNew,www.abc15.com,abc15,2162
PhoenixDailyNew,www.usatoday.com,USATODAY,199
PhoenixDailyNew,www.fox10phoenix.com',FOX10Phoenix,13
PhoenixDailyNew,www.azfamily.com,azfamily,11
TodayMiami,miami.cbslocal.com,CBSMiami,3865
TodayMiami,www.miamiherald.com,MiamiHerald,2622
TodayMiami,www.floridatoday.com,Florida_Today,523
Atlanta_Online,www.fox5atlanta.com,FOX5Atlanta,2590
Atlanta_Online,www.cbs46.com,cbs46,627
Atlanta_Online,www.atlantaleader.com,not found,285
